Species,Length,Width,Height,Length/Width,Length/Height,Width/Height,Longest_Carpopodium_Diameter,Shortest_Carpopodium_Diameter,Stick_Diameter,Thorn_Diameter
Youngia sonchifolia,2.057,0.432,0.429,4.761574074,4.794871795,1.006993007,0.097,0.075,0.016,0.032
Youngia sonchifolia,2.037,0.391,0.379,5.20971867,5.374670185,1.031662269,0.072,0.068,0.026,0.022
Youngia sonchifolia,2.139,0.44,0.444,4.861363636,4.817567568,0.990990991,0.054,0.089,0.018,0.026
Youngia sonchifolia,1.927,0.389,0.447,4.953727506,4.310961969,0.870246085,0.067,0.054,0.02,0.027
Youngia sonchifolia,1.95,0.355,0.363,5.492957746,5.371900826,0.9779614325,0.073,0.065,0.028,0.03
Youngia sonchifolia,1.989,0.408,0.392,4.875,5.073979592,1.040816327,0.069,0.07,0.027,0.023
Youngia sonchifolia,2.012,0.406,0.421,4.955665025,4.779097387,0.9643705463,0.056,0.099,0.027,0.02
Youngia sonchifolia,1.975,0.437,0.38,4.519450801,5.197368421,1.15,0.072,0.056,0.027,0.018
Youngia sonchifolia,2.025,0.414,0.391,4.891304348,5.179028133,1.058823529,0.083,0.081,0.019,0.026
Youngia sonchifolia,2.206,0.413,0.384,5.341404358,5.744791667,1.075520833,0.099,0.075,0.027,0.025
Youngia sonchifolia,2.125,0.525,0.484,4.047619048,4.390495868,1.084710744,0.081,0.078,0.03,0.035
Youngia sonchifolia,2.162,0.414,0.417,5.222222222,5.184652278,0.9928057554,0.075,0.067,0.02,0.021
Youngia sonchifolia,2.136,0.425,0.371,5.025882353,5.757412399,1.145552561,0.088,0.055,0.02,0.023
Youngia sonchifolia,2.008,0.387,0.395,5.188630491,5.083544304,0.9797468354,0.066,0.034,0.015,0.032
Youngia sonchifolia,2.021,0.443,0.414,4.562076749,4.881642512,1.070048309,0.07,0.067,0.017,0.032
Youngia sonchifolia,2.07,0.426,0.367,4.85915493,5.640326975,1.160762943,0.078,0.075,0.018,0.025
Youngia sonchifolia,2.103,0.439,0.437,4.790432802,4.812356979,1.004576659,0.08,0.078,0.025,0.028
Youngia sonchifolia,2.066,0.398,0.41,5.190954774,5.03902439,0.9707317073,0.073,0.047,0.026,0.032
Youngia sonchifolia,2.027,0.409,0.337,4.95599022,6.014836795,1.213649852,0.068,0.055,0.017,0.031
Youngia sonchifolia,2.052,0.41,0.41,5.004878049,5.004878049,1,0.079,0.072,0.019,0.018
Youngia sonchifolia,2.033,0.412,0.419,4.934466019,4.85202864,0.9832935561,0.089,0.056,0.022,0.022
Youngia sonchifolia,1.926,0.339,0.442,5.681415929,4.357466063,0.7669683258,0.072,0.054,0.017,0.022
Youngia sonchifolia,2.076,0.405,0.418,5.125925926,4.966507177,0.9688995215,0.062,0.061,0.016,0.023
Youngia sonchifolia,1.952,0.376,0.303,5.191489362,6.442244224,1.240924092,0.087,0.086,0.017,0.025
