Species,Length,Width,Height,Longest_Carpopodium_Diameter,Shortest_Carpopodium_Diameter,Stick_Diameter,Thorn_Diameter
Youngia sonchifolia,2.057,0.432,0.429,0.097,0.075,0.016,0.032
Youngia sonchifolia,2.037,0.391,0.379,0.072,0.068,0.026,0.022
Youngia sonchifolia,2.139,0.44,0.444,0.054,0.089,0.018,0.026
Youngia sonchifolia,1.927,0.389,0.447,0.067,0.054,0.02,0.027
Youngia sonchifolia,1.95,0.355,0.363,0.073,0.065,0.028,0.03
Youngia sonchifolia,1.989,0.408,0.392,0.069,0.07,0.027,0.023
Youngia sonchifolia,2.012,0.406,0.421,0.056,0.099,0.027,0.02
Youngia sonchifolia,1.975,0.437,0.38,0.072,0.056,0.027,0.018
Youngia sonchifolia,2.025,0.414,0.391,0.083,0.081,0.019,0.026
Youngia sonchifolia,2.206,0.413,0.384,0.099,0.075,0.027,0.025
Youngia sonchifolia,2.125,0.525,0.484,0.081,0.078,0.03,0.035
Youngia sonchifolia,2.162,0.414,0.417,0.075,0.067,0.02,0.021
Youngia sonchifolia,2.136,0.425,0.371,0.088,0.055,0.02,0.023
Youngia sonchifolia,2.008,0.387,0.395,0.066,0.034,0.015,0.032
Youngia sonchifolia,2.021,0.443,0.414,0.07,0.067,0.017,0.032
Youngia sonchifolia,2.07,0.426,0.367,0.078,0.075,0.018,0.025
Youngia sonchifolia,2.103,0.439,0.437,0.08,0.078,0.025,0.028
Youngia sonchifolia,2.066,0.398,0.41,0.073,0.047,0.026,0.032
Youngia sonchifolia,2.027,0.409,0.337,0.068,0.055,0.017,0.031
Youngia sonchifolia,2.052,0.41,0.41,0.079,0.072,0.019,0.018
Youngia sonchifolia,2.033,0.412,0.419,0.089,0.056,0.022,0.022
Youngia sonchifolia,1.926,0.339,0.442,0.072,0.054,0.017,0.022
Youngia sonchifolia,2.076,0.405,0.418,0.062,0.061,0.016,0.023
Youngia sonchifolia,1.952,0.376,0.303,0.087,0.086,0.017,0.025
Youngia sonchifolia,2.02,0.375,0.374,0.059,0.05,0.014,0.036
Youngia sonchifolia,2.068,0.423,0.401,0.073,0.061,0.022,0.032
Youngia sonchifolia,2.053,0.438,0.439,0.067,0.082,0.016,0.032
Youngia sonchifolia,2.037,0.39,0.407,0.093,0.06,0.018,0.023
Youngia sonchifolia,1.997,0.306,0.329,0.076,0.048,0.012,0.028
Youngia sonchifolia,1.991,0.334,0.418,0.073,0.039,0.015,0.026
Youngia sonchifolia,2.122,0.422,0.391,0.084,0.067,0.022,0.019
Youngia sonchifolia,2.029,0.374,0.366,0.069,0.066,0.017,0.026
Youngia sonchifolia,2.162,0.39,0.388,0.065,0.064,0.023,0.026
Youngia sonchifolia,2.101,0.382,0.399,0.07,0.049,0.019,0.033
Youngia sonchifolia,2.04,0.392,0.396,0.082,0.076,0.015,0.02
Aster pekinensis,2.381,1.539,0.11,0.146,0.125,0.042,0
Aster pekinensis,2.289,1.541,0.085,0.073,0.066,0.029,0
Aster pekinensis,2.229,1.397,0.082,0.13,0.098,0.031,0
Aster pekinensis,2.118,1.256,0.075,0.132,0.084,0.024,0
Aster pekinensis,2.67,1.575,0.105,0.137,0.123,0.028,0
Aster pekinensis,2.356,1.601,0.094,0.14,0.126,0.038,0
Aster pekinensis,2.518,1.645,0.087,0.128,0.127,0.04,0
Aster pekinensis,2.566,1.705,0.101,0.138,0.102,0.034,0
Aster pekinensis,2.49,1.513,0.111,0.113,0.095,0.034,0
Aster pekinensis,2.591,1.433,0.092,0.129,0.124,0.029,0
Aster pekinensis,2.497,1.533,0.082,0.163,0.106,0.039,0
Aster pekinensis,2.448,1.539,0.095,0.153,0.121,0.024,0
Aster pekinensis,2.482,1.626,0.1,0.143,0.111,0.027,0
Aster pekinensis,2.501,1.582,0.081,0.15,0.124,0.024,0
Aster pekinensis,2.461,1.521,0.111,0.139,0.121,0.032,0
Aster pekinensis,2.683,1.793,0.094,0.151,0.135,0.041,0
Aster pekinensis,2.51,1.606,0.109,0.144,0.125,0.028,0
Aster pekinensis,2.466,1.572,0.105,0.137,0.11,0.035,0
Aster pekinensis,2.373,1.499,0.102,0.145,0.124,0.034,0
Aster pekinensis,2.664,1.664,0.103,0.121,0.095,0.03,0
Aster pekinensis,2.485,1.659,0.121,0.15,0.147,0.046,0
Aster pekinensis,2.386,1.585,0.104,0.166,0.101,0.037,0
Aster pekinensis,2.642,1.626,0.124,0.153,0.115,0.035,0
Aster pekinensis,2.438,1.626,0.114,0.146,0.131,0.033,0
Aster pekinensis,2.459,1.468,0.088,0.154,0.124,0.023,0
Aster pekinensis,2.418,1.493,0.115,0.131,0.13,0.03,0
Aster pekinensis,2.647,1.606,0.109,0.133,0.119,0.025,0
Aster pekinensis,2.477,1.619,0.098,0.137,0.119,0.03,0
Aster pekinensis,2.535,1.663,0.085,0.152,0.135,0.036,0
Aster pekinensis,2.23,1.571,0.092,0.15,0.13,0.03,0
Aster pekinensis,2.338,1.51,0.085,0.163,0.138,0.034,0
Aster pekinensis,2.558,1.564,0.113,0.138,0.134,0.039,0
Aster pekinensis,2.603,1.735,0.107,0.167,0.121,0.039,0
Aster pekinensis,2.49,1.629,0.1,0.141,0.101,0.031,0
Aster pekinensis,2.33,1.471,0.098,0.141,0.123,0.035,0
Lactuca indica,3.471,1.902,0.07,0.168,0.137,0,0
